eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2020,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2021,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2000,0.269,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2001,0.243,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2002,0.247,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2003,0.317,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2004,0.3,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2005,0.282,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2006,0.228,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2007,0.192,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2008,0.16,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2009,0.227,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2010,0.215,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2011,0.217,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2012,0.16,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2013,0.166,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2014,0.173,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2015,0.188,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2016,0.169,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2017,0.215,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2018,0.192,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2019,0.22,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2020,0.197,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BE,Belgium,2021,0.174,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2000,0.224,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2001,0.305,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2002,0.261,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2003,0.243,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2004,0.239,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2005,0.133,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2006,0.321,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2007,0.424,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2008,0.323,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2009,0.294,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2010,0.332,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2011,0.133,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2012,0.15,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2013,0.141,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2014,0.112,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2015,0.094,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2016,0.098,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2017,0.131,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2018,0.105,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2019,0.146,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2020,0.189,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,BG,Bulgaria,2021,0.189,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2000,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2001,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2002,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2003,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2004,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2005,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2006,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2007,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2008,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2009,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2010,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2011,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2012,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2013,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2014,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2015,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2016,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2017,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2018,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2020,,
